,Título,Preço
0,Placa Uno R3 Arduino + Cabo USB,119.23
1,Placa Uno SMD Arduino + Cabo USB,75.91
2,Placa Leonardo R3 Arduino + Cabo USB,94.53
3,Placa Mega 2560 R3 Arduino + Cabo USB,217.08
4,Placa Nano V3 Arduino Compatível,64.51
5,Placa Micro R3 Arduino Compatível,131.47
6,Placa Pro Micro ATmega32U4 Arduino Compatível,79.71
7,Placa Pro Mini ATmega328 Arduino Compatível,69.26
8,Nano V3 Arduino Compatível,51.21
9,Pro Mini Arduino Compatível LGT8F328P,36.96
10,Tag iButton TM F5 64 Bits - Chaveiro com codificação única,12.92
11,Interruptor Liga/Desliga tipo Gangorra 10A/120 6A/250V - Preto,2.51
12,Buzzer Ativo 5V Bip Contínuo PCI 12mm,3.66
13,Micro Servo Motor 9g SG90 180° 1.6Kgf.cm de Posição,21.76
14,Sensor Ultrassônico de Distância HC-SR04,13.78
15,"Jack P4 (2,1x5,5mm) para Placas de Circuito Impresso",1.51
16,Sensor de Temperatura DS 18B20 à Prova DÁgua,15.68
17,Módulo Relé 5V 10A 1 Canal com Optoacoplador para ESP32 e Arduino,13.87
18,"Jack P4 Plástico (2,1x5,5mm) para Paineis e Chassis",2.80
19,Leitor iButton DS9092 com LED para Controle de Acesso,29.93
20,Motor DC 3-6V 200RPM com Caixa de Redução e Eixo Duplo 48:1,16.10
21,Mini Bomba de Água para Arduino 12V RS385 2L/Min,59.76
22,Módulo Conversor Amplificador HX711 24bit 2 Canais,11.88
23,Display LCD 16x2 com fundo azul,27.46
24,Fonte de Alimentação para Arduino 9VDC 1A Plug P4,19.86
25,Conector DB9 Serial RS232 - Fêmea,2.51
26,Motor DC 3V DC130 15000RPM 950mA,9.41
27,Sensor de Nível de Água com Boia Horizontal,28.41
28,Sensor Reflexivo Infravermelho TCRT5000 - Kit com 2 unidades,4.90
29,Módulo Bluetooth HC-05 Arduino - Master/Slave,42.66
30,Chave Alavanca MTS-102 3T 2 Posições 6A,4.89
31,Buzzer Passivo 5V PCI 12mm,2.98
32,Módulo Relé 5V 10A 2 canais com Optoacopladores,21.38
33,Módulo Sensor Reflexivo Infravermelho TCRT5000,7.29
34,Conector DB9 Serial RS232 - Macho,2.51
35,Conversor Serial TTL para RS485,8.46
36,Chave Gangorra Liga Desliga 10A,2.51
37,Motor DC 3-6V 80RPM com Caixa de Redução e Eixo Duplo 120:1,19.86
38,Conversor USB para RS485 CH340 Modbus,14.06
39,Módulo Carregador de Bateria Li-Ion TP4056 com Micro USB 18650,6.89
40,Sensor de Temperatura com NTC 10K à Prova DÁgua - MF58,9.98
41,Módulo Adaptador I2C (IIC) / Conversor para LCD 16X2 e 20X4,11.52
42,Sensor PIR de Movimento HC-SR501 100°,16.63
43,Driver Ponte H ou Motor de Passo - L298,32.21
44,Pastilha Peltier 12V -30° a 70º C - TEC1-12706,32.21
45,SD Card Arduino / Leitor Micro SD Card,8.88
46,Conversor RS232 para RS485 Sintechi,37.91
47,Kit Arduino Iniciante Parland US10 + Guia de Projetos,120.94
48,Ethernet Shield R3 W5100 para Arduino,185.54
